Ingredients,Rate,Category,Information
butyl methoxydibenzoylmethane,BEST,Sunscreen Actives,none
butylparaben,GOOD,Preservatives,"Parabens are a group of controversial preservatives that include butylparaben, isobutylparaben, propylparaben, methylparaben, and ethylparaben. All of these were at one time the most widely used group of preservatives used in cosmetics. Parabens were so popular because of their gentle, non-sensitizing, and highly effective profile in comparison to other preservatives but also because they were derived naturally from plants, a rare phenomenon for a preservative. Parabens are found in plants in the form of p-hydroxybenzoic acid (PHBA), a chemical that breaks down to become parabens for a plants own protection.
Over the past 10 years parabens have become criticized and condemned for use in cosmetics due to their alleged relation to health concerns affecting women and men. The research about parabens is conflicting and polarizing. Some research indicates they are safe as used in cosmetics and are preferred over other preservatives to keep a formula stable. These studies also showed parabens did not have any effect when compared to natural hormones in the body.
However, other research has concluded they are indeed problematic: Some studies determined a 100% concentration of parabens caused skin samples (meaning not intact skin on a person) to break down. However, these studies don’t apply to the tiny amount (1% or less) of parabens typically used in cosmetics. In low amounts, parabens were not shown to harm skin; in fact, they offer a benefit due to their ability to thwart the growth of mold, fungi, and harmful pathogens.
Other studies casting parabens in a negative light were based on force-feeding them to rats, a practice that is not only cruel but unrelated to what happens when parabens are applied to skin. There are studies indicating absorption of parabens through skin associated with application of skincare products, but those studies did not take into consideration that parabens are still used as food-grade preservatives or found naturally in plants and that could have been the source not the cosmetics. We also looked at studies showing other questionable effects but those were done in vitro meaning in a petri dish or, again, animal studies in species whose biologic makeup does not closely relate to people.
We appreciate the concern about parabens and understand if people choose to avoid them. At Paula’s Choice Skincare we use parabens in a very limited number of products, but that decision is based on other reasons than the scare tactics rampant on the internet. For transparency, we list all ingredients on individual product pages and packaging and our Client Services team is always happy to help.
References for this information:
Journal of Exposure Science and Environmental Epidemiology, May 2017, 320-325
Annual Review of Food Science Technology, February 2017, pages 371-390
Journal of Applied Toxicology, April 2017, ePublication
Environmental Science and Technology, April 2017, page 4009-4017
Dermatitis, November-December 2015, pages 254-259
Toxicology Letters, December 2013, pages 295-305
Skin Therapy Letter, July-August 2013, pages 5-7
Journal of Agricultural Food Chemistry, June 2008, pages 4631-4636
International Journal of Toxicology, April 2008, pages 1-82
http://www.cosmeticsinfo.org/paraben-information"
butylphenyl methylpropional,POOR,Fragrance: Synthetic and Fragrant Plant Extracts,"Synthetic fragrance ingredient with a strong floral scent. (Also goes by the name 2-(4-tert-Butylbenzyl) propionaldehyde or lilial.) Butylphenyl methylpropional’s use in cosmetics is restricted due to concerns over sensitivity. 
The presence of butylphenyl methylpropional must be indicated in the list of ingredients if the product contains more than 0.001% and is meant to be left on skin; it also must be listed if the product contains more than 0.01% and is meant to be rinsed, like cleansers and shampoos.
References for this information:
Global Regulatory Issues for the Cosmetics Industry, 2009, volume 2, pages 55-78"
Butyrospermum fruit,BEST,Plant Extracts,"Fruit from the karite tree, scientific name Butyrospermum parkii, from which the fat is obtained to make shea butter."
Butyrospermum parkii,BEST,Plant Extracts,none
Butyrosperum parkii (shea) butter extract,BEST,Emollients,none
Buxus chinensis,BEST,Plant Extracts,none
C10-30 cholesterol/lanosterol esters,BEST,Emollients,Blend of cholesterol and fatty acid ester from lanolin. Functions as a skin-soothing agent.
C11-15 pareth-7,GOOD,Cleansing Agents,"A lightweight, synthetic mixture of fatty alcohols and polyethylene glycols that functions as an emulsifier and surfactant. C11-15 pareth-7 is considered safe and non-sensitizing for skin when used in typical concentrations to formulate cosmetics.
Reference for this information:
https://www.cir-safety.org/sites/default/files/117_final_alkyl.pdf"
C12-15 alkyl benzoate,GOOD,Texture Enhancer,"Synthetic ingredient used as an emollient and texture enhancing agent in cosmetics. This common ingredient is soluble in oil and oil-like ingredients, and can impart a lightly conditioning, silky finish to products. Its excellent solubility is one of the main reasons its used in so many sunscreens, as it helps keep the active ingredients dispersed throughout the formula.
Reference for this information:
International Journal of Toxicology, November-December 2012, pages 342-372"
C12-16 pareth-9,GOOD,Cleansing Agents,"A lightweight, synthetic mixture of fatty alcohols and polyethylene glycols that functions as an emulsifier and surfactant. C12-16 pareth-9 is considered safe and non-sensitizing for skin when used in typical concentrations to formulate cosmetics.
Reference for this information:
https://www.cir-safety.org/sites/default/files/117_final_alkyl.pdf"
C12-18 acid triglyceride,GOOD,Texture Enhancer,Used as an emollient and texture enhancer in cosmetics.
C13-14 isoparaffin,GOOD,Texture Enhancer,A petroleum-derived ingredient whose wax-like texture functions as a texture enhancer.
C18-36 acid triglyceride,GOOD,Texture Enhancer,Used as an emollient and texture enhancer in cosmetics.
C20-40 pareth-40,GOOD,Cleansing Agents,"Mixture of polyethylene glycols of various molecular weight that can function as stabilizing agents, solubolizers, and surfactants."
caffeic acid,BEST,Antioxidants,"Potent antioxidant. Caffeic acid is derived from plants and is in fact found in most plants.
References for this information:
Toxicology, January 2006, issues 2-3, pages 213-220
Bioorganic & Medicinal Chemistry Letters, June 2002, issue 12, pages 1567–1570"
caffeine,AVERAGE,Antioxidants,"Caffeine is the chief stimulant in beverages such as coffee and tea. It’s often included in skincare products with claims that it will improve the look of cellulite or puffy eyes. Unfortunately, research into caffeine’s effects in this regard are mixed. Caffeine’s popularity in products related to cellulite is due to its distant relationship to aminophylline (an ingredient once thought to improve the look of cellulite), which is a modified form of theophylline, and caffeine contains theophylline.
Applied to skin, caffeine may have soothing and antioxidant properties, especially when skin is exposed to UV light. It can penetrate skin and has a constricting effect, which can help improve the look of redness but also may be sensitizing.
When it comes to puffy eyes, there is no research indicating caffeine can have any benefit; in fact, research has shown caffeine has an inhibitory action on a key protein in skin that helps it look younger. Truly, it’s a mix of pros and cons for skin, though lower amounts (less than 1%)  in skincare products probably don’t present much, if any, risk.
References for this information:
Drug Design, Development, and Therapy, October 2014, pages 19,923-1,928
Skin Pharmacology and Physiology, 2013, issue 1, pages 8-14
British Journal of Clinical Pharmacology, August 2009, pages 181-186
The Journal of Clinical and Aesthetic Dermatology, January 2009, pages 36-40
BMC Complementary and Alternative Medicine, March 2006, issue 9, page 17
Bioscience, Biotechnology, and Biochemistry, November 2005, issue 11, pages 2219-2223"
cajeputi oil,POOR,Plant Extracts,none
calamine,POOR,Sensitizing,"Preparation of zinc carbonate, colored with ferric oxide (a form of rust). It is a sensitizer when applied to skin so it should be used only as needed."
calcium ascorbate,BEST,Antioxidants,"Form of vitamin C; other forms include ascorbic acid, L-ascorbic acid, ascorbyl palmitate, and magnesium ascorbyl phosphate. Calcium ascorbate, often referred to as Ester-C, is considered a stable form of vitamin C and an antioxidant.
References for this information:
Medical Science Monitor, October 2007, issue 10, pages 205–210
Journal of Cosmetic Science, November–December 2006, issue 6, pages 465–473"
calcium carbonate,GOOD,Absorbent,Chalk; used as an absorbent in cosmetics.
calcium d-pantetheine-s-sulfonate,GOOD,Vitamins,none
calcium gluconate,GOOD,Skin-Soothing,"Calcium is an essential mineral for the body. A small amount of research shows calcium gluconate may be a good skin-soothing and restorative agent when applied topically.
References for this information:
Annals of Emergency Medicine, July 1994, issue 1, pages 9–13"
calcium pantothenate,GOOD,Vitamins,Also known as pantothenic acid.
calendula extract,GOOD,Skin-Soothing,"Extract derived from the plant commonly known as pot marigold or Calendula officinalis, there is little research showing that it has any effect on skin, though it may have skin-soothing and antioxidant properties. If you have ragweed (or similar plant) sensitivities, topical application of calendula is not recommended."
Calendula officinalis flower extract,GOOD,Antioxidants,none
Calluna vulgaris flower extract,BEST,Skin-Soothing,"Also known as heather extract, this plant has skin-soothing properties. Heather is considered a medicinal plant in certain parts of Europe, and has been studied in the field of ethno pharmacology.
References for this information:
Collegium Antropologicum, September 2007, issue 3, pages 869–890"
Calophyllum inophyllum seed oil,GOOD,Plant Extracts,none
Camellia japonica,BEST,Antioxidants,"The leaf has been shown in vitro to be potent antioxidant, while the seed oil is a good source of the fatty acid oleic acid and is chemically similar to the fats found in olive oil. It also has skin-soothing benefits.
References for this information:
Journal of Food Science, October 2012, issue 10, pages 1055–1057
Molecules, June 2012, issue 6, pages 6716–6727
BMB Reports, March 2012, pages 177–182
Journal of Ethnopharmacology, May 2007, pages 127–131
Journal of Cosmetic Science, January/February 2007, issue 1, pages 19-32"
Camellia oleifera,BEST,Antioxidants,none
Camellia sinensis,BEST,Antioxidants,none
camphor,POOR,Plant Extracts,"Aromatic substance obtained from the wood of a tree common to Southeast Asia, Cinnamomum camphora or manufactured synthetically. When applied to the skin, camphor produces a cooling effect, which can cause skin sensitivity with repeated use. Inhaling camphor at concentrations of 2 ppm (parts per million) or more may cause sensitivity of the mucous membranes. Camphor can also cause skin and eye sensitivity on contact.
References for this information:
British Journal of Dermatology, November 2000, issue 5, pages 923-929"
cananga extract,POOR,Plant Extracts,"Fragrance used in cosmetics; it can be a skin sensitizer, much like ylang ylang."
Cananga odorata,POOR,Plant Extracts,none
candelilla/jojoba/rice bran polyglyceryl-3 esters,BEST,Thickeners/Emulsifiers,"A natural mixture of polyglycerin-3, candelilla wax, jojoba seed wax, and rice bran wax that functions as a stabilizer and emulsifier in cosmetics. It is chemically known as a transester because the ingredient contains three different components that are chemically combined to create a new ingredient.
Reference for this information: 
http://online.personalcarecouncil.org/ctfa-static/online/lists/cir-pdfs/FR717.pdf"
candelilla wax,GOOD,Plant Extracts,Extract derived from candelilla plants; used as a thickening agent and emollient to give products such as lipsticks or stick foundations their form.
Cannabis sativa L. oil,GOOD,Plant Extracts,none
canola oil,BEST,Skin-Soothing,"Plant lipid that has restorative and skin-soothing properties.
References for this information:
British Journal of Dermatology, February 1996, issue 2, pages 215–220"
caprooyl phytosphingosine,BEST,Skin-Replenishing,"A mixture of fatty acids caproic acid and phytosphingosine, this ingredient works to replenish and restore a healthier-looking skin surface, creating a smooth, hydrated feel. As a component of naturally-occurring ceramides, caprooyl phytosphingosine is brilliant for stopping moisture loss from skin’s uppermost layers.
 
References for this information: 
Biochimica et Biophysica Acta, January 2017, pages 824-834
Scientific Reports, November 2015, ePublication
Journal of Lipid Research, August 2009, pages 1,692-1,707
European Biophysics Journal, July 2008, pages 989-999"
caprooyl sphingosine,BEST,Skin-Replenishing,"A mixture of fatty acids caproic acid and sphingosine, this ingredient works to replenish and restore a healthier-looking skin surface, creating a smooth, hydrated feel. As a component of naturally-occurring ceramides, caprooyl sphingosine is brilliant for stopping moisture loss from skin’s uppermost layers.
  References for this information: 
Biochimica et Biophysica Acta, January 2017, pages 824-834
Scientific Reports, November 2015, ePublication
European Biophysics Journal, July 2008, pages 989-999"
caprooyl tetrapeptide-3,BEST,Skin-Restoring,"A synthetic or plant-derived signal peptide that’s said to help to boost the natural production of supportive substances skin needs to look younger and feel firmer.
Caprooyl tetrapeptide-3 is made by Lucas Meyer Cosmetics and sold with the trade name Chronoline. It is mixed with water and the sugar, dextran.
References for this information:
Clinical, Cosmetic, and Investigational Dermatology, November 2016, pages 411-419
Lucas Meyer Cosmetics. “ChroNOlineTM A Biometric Lipopeptide That Boosts The Production of Key Components at the DEJ for Maximal Fine Lines and Wrinkles Reduction”, Claim Substantiation Sheet, 2012.
International Journal of Cosmetics, October 2009, pages 327-345"
caprylic/capric triglyceride,BEST,Plant Extracts,"Derived from coconut oil and glycerin, it’s considered an excellent emollient and skin-replenishing ingredient. It’s included in cosmetics due to its mix of fatty acids that skin can use to replenish its surface and resist moisture loss. Caprylic/capric triglyceride can also function as a thickener, but its chief job is to moisturize and replenish skin. This ingredient’s value for skin is made greater by the fact that it’s considered gentle.
Reference for this information:
Food and Chemical Toxicology, January 2000, issue 1, pages 79-98"
capryloyl glycerin/sebacic acid copolymer,GOOD,Film-Forming/Holding Agents,"A naturally-derived (coconut and castor oil) or synthetic ingredient that functions as a polymer and film-forming agent as well as a replacement for silicones in cosmetic formulas. 

References for this information: 
http://www.cosmeticsandtoiletries.com/formulating/function/feelenhancer/169326356.html"
capryloyl glycine,GOOD,Hydration,"A synthetic amino acid derivative that function as a conditioning agent or, depending on the formula, a surfactant. Capryloyl glycine also helps protect the skin’s surface from water loss and can enhance the effectiveness of cosmetic preservatives, allowing lower amounts to be used (a feature that minimizes the risk of a sensitized reaction).
Reference for this information:
International Journal of Toxicology, May/June 2017, pages 17S-56S
http://www.hmdb.ca/metabolites/HMDB00832"
caprylyl caprylate/caprate,GOOD,Emollients,"A synthetic ester blend of medium chain fatty acids and fatty alcohol that works as an emollient. As such, it can help improve skin’s barrier so it’s better able to resist moisture loss.
References for this information:
Pharmaceutics, March 2014, pages 52-77
Biochimica Biophysica Acta, March 2014, pages 362-368"
caprylyl glycol,GOOD,Plant Extracts,"Skin and hair conditioning agent that may be plant-derived or synthetic. Often used as part of a preservative blend in cosmetics.

References for this information:
International Journal of Cosmetic Science, October 2016, pages 496-503
International Journal of Toxicology, September-October 2012, pages 147-168"
caprylyl methicone,GOOD,Silicones,none
capsaicin,POOR,Plant Extracts,Component of capsicum. It has the potential to aggravate skin when applied topically.
capsicum,POOR,Plant Extracts,"Large group of plants consisting primarily of the pepper family, including chili peppers and paprika. Capsicum and substances derived from it can cause skin aggravation and should never be applied to abraded skin."
capsicum oleoresin,POOR,Plant Extracts,Fatty resin derived from capsicum plants. It can aggravate skin and should not be applied to abraded skin.
caramel,GOOD,Coloring Agents/Pigments,Natural coloring agent.
carbomer,GOOD,Texture Enhancer,"Group of synthetic texture enhancers used primarily to create gel-like formulations. High amounts of carbomers in a gel may result in the product rolling or balling up of cosmetic products on skin, but this phenomenon depends on other formulary steps taken to minimize this effect.
Reference for this information:
Pharmacognosy Magazine, October-December 2013, Supplement, pages S6-S10"
carbopol,GOOD,Texture Enhancer,none
carboxylic acid,BEST,Antioxidants,none
cardamom,POOR,Plant Extracts,"Plant of the ginger family, used as fragrance in cosmetics. Terpene, one of its major constituents, can aggravate skin."
carmine,GOOD,Coloring Agents/Pigments,"Natural red color that comes from the dried female cochineal beetle. It is sometimes used to color lip gloss, lipsticks, and other cosmetics. The FDA approved carmine for food use in 1977."
carnauba wax,GOOD,Plant Extracts,"Natural, hard wax obtained from the leaves of palm trees. Used primarily as a thickening agent, but also has film-forming and absorbent properties."
carnitine,BEST,Antioxidants,"Naturally occurring amino acid. Research into how this amino acid affects skin when applied topically is limited, though a few studies indicate it can be an antioxidant."
carnosic acid,BEST,Antioxidants,Component of rosemary that is a potent antioxidant.
carnosine,BEST,Antioxidants,"Composed of amino acids, it has skin-soothing and antioxidant properties. There is some research showing it has antiglycation properties.
References for this information:
The Journal of Dermatological Treatment, October 2012, issue 5, pages 345–384
Life Sciences, March 2002, issue 15, pages 1789–1799"
carnosol acid,BEST,Antioxidants,none
carrageenan,GOOD,Plant Extracts,Seaweed gum used in cosmetics as a thickening agent with water-binding properties.
carrot oil,BEST,Plant Extracts,Emollient plant oil similar to other nonfragrant plant oils.
Carthamus tinctorius oil,BEST,Plant Extracts,none
carvone,POOR,Fragrance: Synthetic and Fragrant Plant Extracts,Essential oil used as a flavoring agent and fragrance component in cosmetics. It can aggravate skin.
Carya illinoensis oil,GOOD,Plant Extracts,none
casein,GOOD,Uncategorized,"Substance derived from milk protein that may have some antioxidant properties when applied topically, although the research for this is limited.
References for this information:
International Journal of Food Science and Nutrition, July 1999, issue 4, pages 291–296"
Castanea sativa seed extract,GOOD,Plant Extracts,none
castor isostearate succinate,GOOD,Emollients,"A mix of esters formed by the reaction of castor seed oil, isostearic acid, and succinic acid. This ingredient functions as a skin conditioning agent and is primarily used as an emollient or lubricant in hair- or lip-care products."
castor oil,GOOD,Plant Extracts,"Vegetable oil derived from the castor bean whose main fatty acis is ricinoleic acid. It is used in cosmetics as an emollient, though its unique property is that when dry it forms a solid film that can have water-binding properties. 
Castor oil can also enhance the absorption of other cosmetic ingredients. It is rarely associated with skin sensitivity, but can have a slightly sticky feel on skin.
Castor oil may also show up on an ingredient label by its Latin name, Ricinus communis.
Despite what you may have heard or read online, there is no substantiated research to prove that castor oil can stimulate hair growth. 
Reference for this information:
Green and Sustainable Chemistry, November 2015, pages 154-163
International Journal of Toxicology, 2007, pages 31-77"
catalase,BEST,Antioxidants,"Enzyme that decomposes hydrogen peroxide into water and oxygen and that has significant antioxidant properties.
References for this informatin:
Journal of Investigative Dermatology, April 2002, issue 4, pages 618–625"
Caulerpa taxifolia extract,GOOD,Antioxidants,none
cedarwood,POOR,Plant Extracts,Fragrant plant extract. There is evidence that cedarwood oil can aggravate skin.
Cedrus atlantica bark extract,POOR,Fragrance: Synthetic and Fragrant Plant Extracts,Fragrant oil that can aggravate skin.
cellulose,GOOD,Plant Extracts,Primary fiber component of plants. Used in cosmetics as a thickening agent and to bind other ingredients together.
Cellulose gum,GOOD,Plant Extracts,Any of various fibrous substances derived from plants. Cellulose gum is a natural ingredient that is most often used as a thickener but also used as a film-forming agent. This ingredient has been deemed safe as used in cosmetics by the Cosmetic Ingredient Review panel.
Centaurea cyanus,BEST,Skin-Soothing,none
Centella asiatica,BEST,Skin-Soothing,"Antioxidant-rich extract that may be listed on labels as asiatic acid, hydrocotyl, or gotu kola. It is a source of amino acids and has soothing properties. Concentrations of 5% show notable improvement in skin’s moisture content.
Reference for this information:
Indian Journal of Pharmaceutical Sciences, Jan-Feb 2016, pages 27-33"
cephalin,BEST,Texture Enhancer,Phospholipid.
Cera alba,GOOD,Texture Enhancer,none
cera microcristallina,GOOD,Emollients,none
ceramide AP,BEST,Skin-Replenishing,none
ceramide EOP,BEST,Skin-Replenishing,none
ceramide EOS,BEST,Skin-Replenishing,none
ceramide NG,BEST,Skin-Replenishing,none
ceramide NP,BEST,Skin-Replenishing,"One of several types of ceramides, which are naturally occurring, long chains of lipids (fats) that are major components of skin’s outer layers. Research shows moisturizers containing ceramide NP can improve the look and feel of dry skin.
References for this information:
Skin Pharmacology and Physiology, 2016, pages 135-147
Contact Dermatitis, June 2002, pages 331-338"
ceramide NS,BEST,Skin-Replenishing,none
ceramides,BEST,Skin-Restoring,"Naturally occurring, long chains of lipids (fats) that are major components of skin’s outer layers. Skin inhibits water movement and controls loss via its structure, which has a unique composition of 50% ceramides, 25% cholesterol, and 15% free fatty acids.
Ceramides are necessary for their water-retention capacity and adding them to a skincare product helps provide replenishing and restoring benefits.
Nine different ceramides have been identified in skin, some of which are used in skincare products. On a skincare product ingredient label, you’ll see those listed as ceramide AP, ceramide EOP, ceramide NG, ceramide NP, ceramide NS, phytosphingosine, and sphingosine. 
The ceramides used in skincare products typically are derived from plants (wheat germ is a common source) or are synthetic; there’s no research showing that either form is preferred over the other.
Ceramides work best for skin when they’re combined with other replenishing ingredients like fatty acids and cholesterol. These lipid mixtures work in multiple ways to improve skin’s texture, suppleness, and help calm signs of sensitivity. 
References for this information:
Biochimica et Biophysica Acta, October 2014, pages 2473-2483
Journal of the American Academy of Dermatology, July 2014, pages 177-184
Journal of Lipid Research, September 2007, pages 1936-1943
American Journal of Clinical Dermatology, Volume 4, 2003, pages 107-129
Journal of Investigative Dermatology, November 2001, pages 1126-1136
Skin Pharmocology and Applied Skin Physiology, September-October 2001, pages 261-271"
ceresin,GOOD,Texture Enhancer,"Derived from clay, ceresin is a waxy ingredient used as a thickening agent in cosmetics. It can aggravate some skin types."
ceteareth-20,GOOD,Texture Enhancer,Fatty alcohol that is used to thicken cosmetics and keep ingredients mixed together and stable.
ceteareth-25,GOOD,Emulsifiers,"A fatty alcohol that functions as an emulsifier and surfactant in cosmetics. It may be plant- or animal-derived or made synthetically (Paula’s Choice Skincare uses the synthetic and plant-derived types). 
Ceteareth-25 also helps to keep ingredients soluble within a formula, allowing remain dispersed evenly throughout an emulsion. 
Reference for this information:
http://www.cosmeticsinfo.org/ingredient/ceteareths"
cetearyl alcohol,GOOD,Texture Enhancer,"Fatty alcohol that is a mixture of gentle cetyl and stearyl alcohols. It’s used as an emollient, texture enhancer, foam stabilizer, and carrying agent for other ingredients. Can be derived naturally, as in coconut fatty alcohol, or made synthetically. It is almost always combined with similar-feeling ingredients to create a product’s texture and influence its slip when applied to skin.
Cosmetic products labeled ""alcohol free"" are allowed to contain cetearyl alcohol, whose effects are quite different from skin-aggravating forms of alcohol. We repeat: fatty alcohols like cetearyl alcohol do not pose a risk of sensitizing skin.
Reference for this information:
FDA Labeling Claims, 2014
http://www.cosmeticsinfo.org/ingredient/cetyl-alcohol"
cetearyl ethylhexanoate,GOOD,Texture Enhancer,Oil-like liquid that functions as an emollient to defend skin against moisture loss. Also adds an elegant slip to creams and lotions.
cetearyl glucoside,GOOD,Texture Enhancer,A blend of cetearyl alcohol and glucose that functions as an emulsifier.
cetearyl octanoate,GOOD,Texture Enhancer,none
cetyl acetate,GOOD,Emollients,A mixture of cetyl alcohol and acetic acid used as a skin-replenishing agent and emollient.
cetyl alcohol,GOOD,Thickeners/Emulsifiers,"Fatty alcohol used as an emollient, emulsifier, thickener, and carrying agent for other ingredients. Can be derived naturally, as in coconut fatty alcohol, or made synthetically. It is not an irritant and is not related to SD alcohol, denatured alcohol, or ethyl alcohol. Cetyl alcohol is considered safe for use in cosmetics.
Reference for this information:
http://www.cir-safety.org/sites/default/files/115_buff3a_suppl.pdf"
cetyl dimethicone,GOOD,Silicones,Silicone polymer that functions as skin-conditioning agent.
cetyl dimethicone copolyol,GOOD,Silicones,none
cetyl esters,GOOD,Texture Enhancer,Synthetic wax used in cosmetics as a texture enhancer and emollient.
cetyl hydroxyethylcellulose,GOOD,Texture Enhancer,A mixture of cetyl alcohol and hydroxyethylcellulose. It functions as thickener and stabilizing agent.
cetyl palmitate,GOOD,Emollients,"The ester of cetyl palmitate and palmitic acid, this thickener and emollient helps smooth and condition dry skin. The ingredients that comprise cetyl palmitate are naturally-occurring fatty acids. It may be derived from animals but can also (and is usually) derived from plants or manufactured synthetically."
cetyl PEG/PPG-10/1-dimethicone,GOOD,Texture Enhancer,Silicone that functions as a skin-conditioning agent and emulsifier.
chamomile,BEST,Antioxidants,"Ingredient derived from plant species Chamomilla recutita, Matricaria recutita, and Matricaria chamomilla. Chamomile tea, brewed from dried flower heads, has been used traditionally for a variety of concerns. The main constituents of the flowers include phenolic compounds, primarily the flavonoids apigenin, quercetin, patuletin, luteolin, and their glucosides, all of which function as antioxidants.
The principal components of the oil extracted from the flowers are the terpenoids a-bisabolol and its oxides and azulenes, including chamazulene. Chamomile has moderate antioxidant activities and studies indicate it is has potent skin-soothing action, among other benefits.
Adverse responses to chamomile have been reported among those who are aggravated by other plants in the daisy family. If you’re allergic to plants in the daisy family, you may need to avoid products that contain chamomile. 
References for this information:
Journal of Clinical and Aesthetic Dermatology, January 2009, pages 36-40
Phytotherapy Research, July 2006, pages 519-530"
Chamomilla recutita flower extract,BEST,Antioxidants,none
charcoal,GOOD,Absorbent,"Primarily carbon substance formed by charring organic material in absence of oxygen. One teaspoonful of Activated Charcoal USP has a surface area of more than 10,000 square feet, which gives charcoal unique absorption properties.
References for this information:
Chemosphere, August 2005, pages 1,129-1,140
Ceska a Slovenska Farmacie, November 2004, pages 304-309."
charcoal powder,GOOD,Absorbent,"Primarily carbon substance formed by charring organic material in absence of oxygen. One teaspoonful of Activated Charcoal USP has a surface area of more than 10,000 square feet, which gives charcoal unique absorption properties.
References for this information:
Chemosphere, August 2005, pages 1,129-1,140
Ceska a Slovenska Farmacie, November 2004, pages 304-309."
chelating agent,GOOD,Uncategorized,"Any of numerous ingredients that bind with metal ions or metallic compounds, preventing them from adhering to a surface (such as skin, hair, or clothing) or causing contamination, such as in the case of trace amounts of iron. Examples are tetrasodium EDTA and tetrahydroxypropyl ethylenediamine. The EDTA complex is most common because of its broad effectiveness and compatibility with most cosmetic ingredients."
cherry extract,AVERAGE,Plant Extracts,"Also known as wild cherry and sweet cherry, this fruit is a natural source of vitamin C and antioxidant compounds known as anthocyanins and polyphenols. Although cherry is considered a nutritious fruit, there is no research pertaining to its efficacy when used in skincare products, though it does add fragrance."
China clay,GOOD,Absorbent,none
chitosan,BEST,Skin-Soothing,"Derived from chitin, a polysaccharide found in the exoskeletons of shrimp, lobster, and crabs. There is extensive research showing it can be effective in skin restoring and soothing.
References for this information:
Journal of Pharmacy and Pharmacology, November 2002, issue 11, pages 1453–1459
International Journal of Food Microbiology, March 2002, issues 1-2, pages 65–72
  Biomaterials, November 2001, issue 21, pages 2959–2966
Journal of Pharmacy and Pharmacology, August 2001, issue 8, pages 1047–1067"
chlorella,GOOD,Antioxidants,none
chlorophene,GOOD,Preservatives,Used as a preservative in cosmetics.
chloroxylenol,GOOD,Preservatives,Chemical compound used as a preservative.
chlorphenesin,GOOD,Preservatives,Type of alcohol used as a preservative in cosmetics.
cholecalciferol,GOOD,Antioxidants,Technical name for vitamin D.
cholesterol,BEST,Emollients,"Applied topically, cholesterol in cosmetics can help maintain the skin’s healthy feel and appearance. It is also a stabilizer, emollient, and water-binding agent.
References for this information:
Journal of Structural Biology, June 2007, issue 3, pages 386-400"
choline,BEST,Vitamins,"Part of the vitamin B complex and a constituent of many other biologically important molecules, such as acetylcholine (a neurotransmitter) and lecithin."
chondroitin sulfate,BEST,Skin-Replenishing,none
Chondrus crispus,GOOD,Antioxidants,Form of red seaweed.
chromium hydroxide green,GOOD,Coloring Agents/Pigments,Earth mineral used as a coloring agent/additive and permanently listed (as of 1977) by the FDA for use in cosmetic products.
chromium oxide green,GOOD,Coloring Agents/Pigments,none
chrysanthemum extract,AVERAGE,Skin-Soothing,Can have skin-soothing benefit for skin.
Chrysanthemum parthenium extract,AVERAGE,Plant Extracts,none
Cichorium intybus,GOOD,Antioxidants,"Source of a plant extract with antioxidant properties.
References for this information:
Archives of Pharmaceutical Research, October 2001, issue 5, pages 431–436"
Cimicifuga racemosa root extract,AVERAGE,Plant Extracts,none
Cinnamomum,POOR,Antioxidants,none
Cinnamomum camphora,POOR,Plant Extracts,none
cinnamon,POOR,Antioxidants,"Can have antioxidant properties, but also can aggravate skin. May be listed as Cinnamomum camphora.
References for this information:
Cutaneous and Ocular Toxicology, 2007, issue 3, pages 227-233"
cinnamyl alcohol,POOR,Fragrance: Synthetic and Fragrant Plant Extracts,"A volatile fragrance ingredient that contains extracts from cinnamon and balsam of Peru and is capable of aggravating skin.
References for this information:
Journal of Dermatological Science, February 2003, issue 1, pages 9-19"
citrate buffer,GOOD,Miscellaneous,"Citrate buffer is a buffered mixture of the cosmetic ingredients sodium citrate and citric acid. It functions in cosmetics as a pH-adjusting ingredient to keep products in the acidic range of the pH scale.
It can be sensitizing when used in high amounts, but the tiny amounts needed to establish a pH in cosmetics are not harmful to skin.
References for this information:
International Journal of Pharmaceutics, May 2017, pages 222-231
Results in Pharma Sciences, May 2011, pages"
citric acid,GOOD,Uncategorized,"Extract derived from citrus fruits and used primarily in small amounts to adjust the pH of products to prevent them from being too alkaline.
Citric acid is an AHA, and as such, in the right formula and concentration, it can exfoliate skin. However, research on this ability looked at much higher concentrations (20%, for example) than are used in skincare products—not to mention there’s proportionately more research on AHAs glycolic and lactic acids. Moreover, the AHAs lactic and glycolic acid have been shown to be more effective and less likely to promote a stinging reaction on skin.
References for this information:
The Journal of Dermatology, January 2006, pages 16-22
Dermatologic Surgery, August 1997, pages 689-694
International Journal of Cosmetic Science, April 1996, pages 75-83"
citronellol,POOR,Fragrance: Synthetic and Fragrant Plant Extracts,"A volatile fragrance chemical extracted from geranium, rose, and other plants, citronellol has a characteristic grassy, citrus-like scent. Applied to skin, it can cause aggravation when exposed to air. This exposure causes the unstable citronellol molecule to oxidize, which is believed to trigger aggravation on skin."
Citrullus colocynthis,POOR,Plant Extracts,Bitter apple; considered to aggravate skin.
Citrus amara,POOR,Plant Extracts,none
Citrus aurantifolia,POOR,Plant Extracts,none
Citrus aurantium,POOR,Plant Extracts,none
Citrus aurantium extract,POOR,Plant Extracts,"Bitter orange extract. It can have antioxidant properties when eaten (Source: Journal of Agricultural Food Chemistry, December 1999, pages 5239–5244); however, used topically its methanol content makes it potentially sensitizing for skin"
Citrus medica limonium,POOR,Plant Extracts,none
