,Ingredients,Rate,Category,Information
390,Sambucus nigra fruit extract,GOOD,"Antioxidants, Plant Extracts",
391,Sapindus mukurossi peel extract,GOOD,"Skin-Soothing, Plant Extracts, Antioxidants",
392,saponin,GOOD,"Skin-Soothing, Plant Extracts, Antioxidants",
393,Sargassum filipendula extract,GOOD,"Antioxidants, Plant Extracts",
394,Scutellaria baicalensis extract,GOOD,"Skin-Soothing, Plant Extracts, Antioxidants",
395,sea buckthorn,GOOD,"Antioxidants, Plant Extracts",
396,Seamollient,GOOD,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts, Emollients",
397,seaweed,GOOD,"Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
398,selenium,BEST,Antioxidants,
399,sericin,GOOD,"Antioxidants, Plant Extracts",
400,serine,GOOD,"Antioxidants, Skin-Replenishing",
401,shea butter,BEST,"Plant Extracts, Emollients, Antioxidants",
402,silk,GOOD,Antioxidants,
403,silk protein,GOOD,Antioxidants,
404,silver tip white tea leaf extract,BEST,"Skin-Soothing, Plant Extracts, Antioxidants",
405,Silybum marianum extract,BEST,"Plant Extracts, Antioxidants",
406,skin-restoring ingredients,BEST,"Antioxidants, Skin-Restoring",
407,skullcap extract,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts",
408,soapberry extract,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts",
409,sodium ascorbate,BEST,"Antioxidants, Vitamins",
410,sodium ascorbyl phosphate,BEST,"Skin-Soothing, Vitamins, Antioxidants",
411,sodium citrate,GOOD,"Antioxidants, Preservatives",
412,sodium hyaluronate,BEST,"Skin-Replenishing, Antioxidants, Skin-Restoring",
413,sodium metabisulfite,AVERAGE,"Antioxidants, Preservatives, Sensitizing",
414,Solanum lycopersicum extract,AVERAGE,"Antioxidants, Sensitizing, Plant Extracts",
415,soy extract,BEST,"Skin-Soothing, Plant Extracts, Antioxidants",
416,soy isoflavones,BEST,"Skin-Soothing, Plant Extracts, Antioxidants",
417,soy oil,BEST,"Skin-Soothing, Antioxidants, Plant Extracts, Emollients",
418,spirulina,GOOD,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts, Emollients",
419,squalane,BEST,"Hydration, Antioxidants, Skin-Replenishing, Emollients",
420,squalene,BEST,"Antioxidants, Skin-Replenishing, Emollients",
421,St. John's wort,GOOD,"Antioxidants, Plant Extracts",
422,star anise,POOR,"Antioxidants, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
423,superoxide dismutase,BEST,Antioxidants,
424,tannic acid,BEST,Antioxidants,
425,tea tree oil,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts",
426,tetradibutyl pentaerithrityl hydroxyhydrocinnamate,GOOD,Antioxidants,
427,tetrahexyldecyl ascorbate,BEST,"Antioxidants, Vitamins",
428,tetrahydrobisdemethoxycurcumin,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
429,tetrahydrobisdemethoxydiferuloylmethane,BEST,Antioxidants,
430,tetrahydrodemethoxycurcumin,BEST,"Skin-Soothing, Plant Extracts, Antioxidants",
431,tetrahydrodemethoxydiferuloylmethane,BEST,"Skin-Soothing, Antioxidants",
432,tetrahydrodiferuloylmethane,BEST,"Skin-Soothing, Antioxidants",
433,tetrahydromethoxycurcumin,BEST,"Skin-Soothing, Antioxidants",
434,thioctic acid,BEST,Antioxidants,
435,thiodipropionic acid,AVERAGE,Antioxidants,
436,thiotaurine,GOOD,"Antioxidants, Skin-Replenishing",
437,threonine,GOOD,"Antioxidants, Skin-Replenishing",
438,thyme extract,AVERAGE,"Antioxidants, Sensitizing, Plant Extracts",
439,thyme oil,POOR,"Antioxidants, Plant Extracts, Sensitizing",
440,Thymus serpillum extract,POOR,"Antioxidants, Sensitizing, Plant Extracts",
441,Thymus vulgaris,AVERAGE,"Antioxidants, Plant Extracts, Sensitizing",
442,Thymus vulgaris oil,POOR,"Antioxidants, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
443,Tilia cordata,BEST,"Antioxidants, Plant Extracts",
444,tocopherol,BEST,"Antioxidants, Vitamins",
445,tocopherol acetate,BEST,"Antioxidants, Vitamins",
446,tocopheryl acetate,BEST,"Antioxidants, Vitamins",
447,tocopheryl lineolate,BEST,"Antioxidants, Vitamins",
448,tocotrienols,BEST,"Antioxidants, Vitamins",
449,tomato extract,AVERAGE,"Antioxidants, Sensitizing, Plant Extracts",
450,tremella fuciformis sporocarp extract,BEST,"Antioxidants, Plant Extracts",
451,Trifolium pratense,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts",
452,Tripleurospermum maritimum extract,GOOD,"Plant Extracts, Antioxidants",
453,troxerutin,BEST,"Antioxidants, Plant Extracts",
454,tryptophan,GOOD,"Antioxidants, Skin-Replenishing",
455,turmeric,GOOD,"Antioxidants, Skin-Soothing, Plant Extracts",
456,ubiquinone,BEST,"Skin-Soothing, Antioxidants",
457,Ulva lactuca extract,GOOD,"Skin-Soothing, Plant Extracts, Antioxidants",
458,Undaria pinnatifida,GOOD,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts, Hydration",
459,Uva ursi extract,BEST,"Plant Extracts, Antioxidants",
460,Vaccinium macrocarpon fruit extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
461,Vaccinum Angustifolium (blueberry) fruit extract,BEST,Antioxidants,
462,valine,GOOD,"Antioxidants, Skin-Replenishing",
463,Vanilla planifolia fruit extract,GOOD,"Skin-Soothing, Plant Extracts, Antioxidants, Fragrance: Synthetic and Fragrant Plant Extracts",
464,Viola tricolor extract,AVERAGE,"Skin-Soothing, Plant Extracts, Antioxidants",
465,vitamin A,BEST,"Antioxidants, Vitamins",
466,vitamin C,BEST,"Antioxidants, Vitamins",
467,vitamin D,GOOD,"Antioxidants, Vitamins",
468,vitamin E,BEST,"Antioxidants, Vitamins",
469,vitamin F,BEST,"Antioxidants, Skin-Replenishing, Vitamins, Emollients, Skin-Restoring, Hydration",
470,Vitis vinifera,BEST,"Antioxidants, Emollients, Plant Extracts",
471,walnut extract,AVERAGE,"Antioxidants, Plant Extracts",
472,watercress extract,AVERAGE,"Antioxidants, Plant Extracts",
473,watermelon fruit extract,BEST,"Antioxidants, Plant Extracts",
474,white tea leaf extract,BEST,"Antioxidants, Plant Extracts",
475,witch hazel,POOR,"Skin-Soothing, Plant Extracts, Antioxidants, Sensitizing",
476,xanthophyll,BEST,"Antioxidants, Plant Extracts",
477,Ximenia americana oil,GOOD,"Plant Extracts, Antioxidants, Emollients",
478,yeast,GOOD,Antioxidants,
479,yeast extract,GOOD,Antioxidants,
480,yerba mate extract,BEST,"Skin-Soothing, Plant Extracts, Antioxidants",
481,ylang ylang,POOR,"Plant Extracts, Antioxidants, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
482,yucca extract,AVERAGE,"Skin-Soothing, Plant Extracts, Sensitizing, Antioxidants",
483,zinc,BEST,"Skin-Soothing, Antioxidants",
484,zinc oxide,BEST,"Skin-Soothing, Coloring Agents/Pigments, Antioxidants, Thickeners/Emulsifiers",
