Ingredients,Rate,Category
decyl glucoside,GOOD,Cleansing Agents
decyl oleate,GOOD,Emollients
dehydroacetic acid,GOOD,Preservatives
dehydroepiandrosterone,AVERAGE,Uncategorized
deionized/demineralized water,GOOD,Uncategorized
denatured alcohol,POOR,Sensitizing
deoxyribonucleic acid,AVERAGE,Uncategorized
detergent cleansing agent,GOOD,Cleansing Agents
deuterium oxide,AVERAGE,Uncategorized
dextran,GOOD,Skin-Replenishing
dextrin,GOOD,Texture Enhancer
DHA,GOOD,Uncategorized
diatomaceous earth,AVERAGE,Scrub Agents
diazolidinyl urea,AVERAGE,Preservatives
dibutyl phthalate,AVERAGE,Uncategorized
dicaprylyl carbonate,GOOD,Emollients
dicetyl phosphate,GOOD,Cleansing Agents
diethylhexyl carbonate,GOOD,Emollients
diethylhexyl malate,GOOD,Emollients
diethylhexyl syringylidenemalonate,GOOD,Antioxidants
diheptyl succinate,BEST,Texture Enhancer
dihydrocholeth-30,GOOD,Cleansing Agents
dihydroxyacetone,GOOD,Uncategorized
diisopropyl adipate,GOOD,"Texture Enhancer, Emollients"
diisopropyl dimer dilinoleate,GOOD,Emollients
diisostearoyl trimethylolpropane siloxy silicate,GOOD,"Silicones, Emollients"
diisostearyl dimer dilinoleate,GOOD,Emollients
diisostearyl malate,GOOD,Emollients
dimer dilinoleyl dimer dilinoleate,GOOD,"Emollients, Texture Enhancer"
dimethicone,GOOD,"Silicones, Emollients"
dimethicone/PEG-10/15 crosspolymer,GOOD,"Silicones, Emollients"
dimethicone/vinyl dimethicone crosspolymer,GOOD,"Texture Enhancer, Silicones"
dimethicone copolyol,GOOD,"Silicones, Emollients"
dimethicone crosspolymer,GOOD,"Texture Enhancer, Emollients, Silicones"
dimethiconol,GOOD,"Silicones, Emollients"
dimethyl capramide,GOOD,Uncategorized
dimethyl ether,POOR,Uncategorized
dimethyl isosorbide,GOOD,Uncategorized
dimethyl MEA,AVERAGE,Skin-Restoring
Dioscorea villosa extract,AVERAGE,Plant Extracts
dipentaerythrityl hexacaprylate/hexacaprate,GOOD,"Texture Enhancer, Emollients"
dipotassium glycyrrhizate,BEST,"Skin-Soothing, Plant Extracts"
dipotassium glycyrrhizinate,BEST,"Skin-Soothing, Plant Extracts"
dipotassium phosphate,GOOD,Miscellaneous
di-PPG-3 myristyl ether adipate,GOOD,Texture Enhancer
dipropylene glycol,GOOD,Texture Enhancer
disodium cocoamphodiacetate,GOOD,Cleansing Agents
disodium cocoyl glutamate,GOOD,Cleansing Agents
disodium diglyceryl phosphate,GOOD,"Texture Enhancer, Emollients"
disodium EDTA,GOOD,Uncategorized
disodium glyceryl phosphate,GOOD,"Texture Enhancer, Emollients"
disodium lauraminopropionate,GOOD,Cleansing Agents
disodium lauriminodipropionate tocopheryl phosphates,GOOD,Uncategorized
disodium rutinyl disulfate,GOOD,Antioxidants
disteardimonium hectorite,GOOD,Uncategorized
DMAE,AVERAGE,Skin-Restoring
DMDM hydantoin,AVERAGE,Preservatives
docosahexaenoic acid,GOOD,"Texture Enhancer, Emollients"
dog rose,GOOD,Plant Extracts
dogwood,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts"
Dromiceius oil,GOOD,Emollients
dulse,GOOD,"Antioxidants, Emollients, Plant Extracts"
Dunaliella salina extract,BEST,"Plant Extracts, Antioxidants"
durian,GOOD,"Antioxidants, Plant Extracts"
Durvillaea antarctica extract,GOOD,"Antioxidants, Plant Extracts, Emollients"
ecamsule,BEST,Sunscreen Actives
Echium plantagineum seed oil,BEST,Emollients
ectoin,GOOD,Miscellaneous
EDTA,GOOD,Miscellaneous
egg yolk,BEST,"Emollients, Skin-Replenishing"
eicosapentaenoic acid,BEST,"Skin-Replenishing, Emollients"
Elaeis guineensis,BEST,"Antioxidants, Emollients, Plant Extracts"
elderberry,GOOD,"Antioxidants, Plant Extracts"
elecampane,POOR,"Plant Extracts, Sensitizing"
ellagic acid,BEST,Antioxidants
emollient,GOOD,"Thickeners/Emulsifiers, Emollients"
emulsifier,GOOD,Thickeners/Emulsifiers
emu oil,GOOD,Emollients
English ivy extract,POOR,"Plant Extracts, Sensitizing"
Enteromorpha compressa extract,GOOD,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts"
environmental damage,POOR,Miscellaneous
enzymes,GOOD,"Exfoliant, Skin-Restoring"
epigallocatechin gallate,BEST,"Skin-Soothing, Antioxidants, Plant Extracts"
Epilobium angustifolium extract,BEST,Skin-Soothing
Equisetum arvense,POOR,"Antioxidants, Plant Extracts, Sensitizing"
ergocalciferol,GOOD,"Antioxidants, Vitamins"
ergothioneine,BEST,"Skin-Soothing, Antioxidants"
Eriobotrya japonica,BEST,"Antioxidants, Plant Extracts"
erythrulose,GOOD,Miscellaneous
esculin,POOR,Sensitizing
essential oil,POOR,"Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
ester,GOOD,Emollients
Ester-C,BEST,Vitamins
ethanol,POOR,Sensitizing
ethoxydiglycol,GOOD,Miscellaneous
ethyl alcohol,POOR,Sensitizing
ethyl hexanediol,AVERAGE,Texture Enhancer
ethylhexylglycerin,GOOD,"Miscellaneous, Preservatives"
ethylhexyl methoxycinnamate,BEST,Sunscreen Actives
ethylhexyl olivate,BEST,"Emollients, Skin-Softening"
ethylhexyl palmitate,GOOD,"Emollients, Texture Enhancer"
ethylhexyl stearate,GOOD,"Thickeners/Emulsifiers, Texture Enhancer, Emollients"
ethylparaben,GOOD,Preservatives
ethyl vanillin,GOOD,Antioxidants
eucalyptus extract,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
eucalyptus oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
Eugenia aromatica,POOR,"Plant Extracts, Sensitizing"
Eugenia caryophyllus,POOR,"Plant Extracts, Sensitizing"
eugenol,POOR,"Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
Euphorbia cerifera wax,GOOD,"Plant Extracts, Emollients, Texture Enhancer, Thickeners/Emulsifiers"
Euphrasia officinalis,AVERAGE,"Plant Extracts, Sensitizing"
Euterpe oleracea fruit extract,BEST,"Antioxidants, Plant Extracts"
evening primrose oil,BEST,"Skin-Soothing, Emollients, Plant Extracts"
Evodia rutaecarpa extract,GOOD,"Skin-Soothing, Plant Extracts"
Ext. D&C,GOOD,Coloring Agents/Pigments
eyebright,AVERAGE,"Plant Extracts, Sensitizing"
faex,GOOD,Antioxidants
farnesol,AVERAGE,"Antioxidants, Fragrance: Synthetic and Fragrant Plant Extracts, Plant Extracts"
farnesyl acetate,AVERAGE,"Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
fatty acid,BEST,"Thickeners/Emulsifiers, Emollients, Texture Enhancer, Skin-Replenishing"
fatty alcohol,GOOD,"Thickeners/Emulsifiers, Texture Enhancer, Emollients"
FD&C,GOOD,Coloring Agents/Pigments
FD&C colors,GOOD,Coloring Agents/Pigments
fennel oil,POOR,"Plant Extracts, Sensitizing"
fennel seed extract,POOR,"Antioxidants, Plant Extracts, Sensitizing"
ferric ammonium ferrocyanide,GOOD,Coloring Agents/Pigments
ferric ferrocyanide,GOOD,Coloring Agents/Pigments
Ferula galbaniflua,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
ferulic acid,BEST,"Antioxidants, Plant Extracts"
feverfew extract,GOOD,"Skin-Soothing, Sensitizing, Plant Extracts"
fibronectin,GOOD,Skin-Replenishing
Ficus carica fruit extract,POOR,"Plant Extracts, Sensitizing"
fig,POOR,"Plant Extracts, Sensitizing"
Filipendula glaberrima,BEST,"Antioxidants, Plant Extracts"
Filipendula rubra,BEST,"Skin-Soothing, Plant Extracts"
film-forming agent,GOOD,Film-Forming/Holding Agents
fireweed extract,BEST,"Skin-Soothing, Plant Extracts"
fir needle oil,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
fish cartilage extract,AVERAGE,Miscellaneous
flavonoid,BEST,Antioxidants
flavor,AVERAGE,Miscellaneous
flax,BEST,"Plant Extracts, Antioxidants"
flaxseed oil,BEST,"Antioxidants, Plant Extracts"
floralozone,POOR,Fragrance: Synthetic and Fragrant Plant Extracts
Foeniculum vulgare extract,POOR,"Antioxidants, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
folic acid,GOOD,"Antioxidants, Vitamins"
formaldehyde-releasing preservative,AVERAGE,Preservatives
fragrance,POOR,"Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
frankincense extract,POOR,"Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
fructose,GOOD,Skin-Replenishing
fruit acid,AVERAGE,"Miscellaneous, Plant Extracts"
Fucus vesiculosus extract,BEST,"Antioxidants, Plant Extracts"
Fu ling,BEST,"Skin-Soothing, Antioxidants, Plant Extracts"
fuller's earth,GOOD,"Thickeners/Emulsifiers, Absorbent"
galactoarabinan,GOOD,"Antioxidants, Hydration, Plant Extracts"
galbanum,POOR,"Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
gamma linolenic acid (GLA),BEST,"Antioxidants, Emollients, Skin-Restoring"
Ganoderma lucidum extract,AVERAGE,"Antioxidants, Plant Extracts"
Gardenia florida extract,POOR,"Antioxidants, Sensitizing, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
gelatin,GOOD,Thickeners/Emulsifiers
gellan gum,GOOD,Texture Enhancer
Gellidiela acerosa extract,GOOD,"Antioxidants, Emollients, Plant Extracts"
genistein,BEST,"Skin-Soothing, Plant Extracts, Antioxidants"
Gentiana lutea (Gentian) root extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts"
geraniol,AVERAGE,"Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
geranium extract,BEST,"Antioxidants, Plant Extracts"
geranium oil,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
Geranium pretense,POOR,"Antioxidants, Plant Extracts, Sensitizing"
Germaben II,GOOD,Preservatives
ginger extract,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts"
ginger oil,POOR,"Antioxidants, Sensitizing, Plant Extracts"
Ginkgo biloba leaf extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts"
ginseng,BEST,"Antioxidants, Plant Extracts"
GLA,BEST,"Antioxidants, Emollients, Skin-Restoring"
glabridin,BEST,"Skin-Soothing, Plant Extracts"
gluconolactone,BEST,Exfoliant
glucosamine HCL,BEST,"Skin-Soothing, Skin-Replenishing"
glucose,GOOD,Skin-Replenishing
glucose oxidase,GOOD,Miscellaneous
glucosyl hesperidin,BEST,"Antioxidants, Plant Extracts"
glutamic acid,AVERAGE,Miscellaneous
glutamine,BEST,Skin-Replenishing
glutathione,BEST,"Antioxidants, Skin-Restoring"
gluten ingredients,GOOD,Miscellaneous
glycereth-26,GOOD,"Thickeners/Emulsifiers, Emollients"
glycereth-26 phosphate,GOOD,"Thickeners/Emulsifiers, Emollients"
glycereth-6 laurate,GOOD,"Thickeners/Emulsifiers, Emollients"
glycerin,BEST,"Skin-Replenishing, Skin-Restoring"
glycerine,BEST,Skin-Replenishing
glycerol,BEST,Skin-Replenishing
glycerol monostearate,GOOD,"Thickeners/Emulsifiers, Emollients"
glycerol triacetate,GOOD,"Thickeners/Emulsifiers, Emollients"
glycerol trioleate,GOOD,"Thickeners/Emulsifiers, Emollients"
glyceryl ascorbate,BEST,Antioxidants
glyceryl behanate,GOOD,"Thickeners/Emulsifiers, Emollients, Cleansing Agents"
glyceryl behenate,BEST,"Emollients, Texture Enhancer"
glyceryl behenate/eicosadioate,GOOD,Thickeners
glyceryl cocoate,GOOD,"Thickeners/Emulsifiers, Emollients"
glyceryl dibehanate,GOOD,Emollients
glyceryl dipalmitate,GOOD,"Thickeners/Emulsifiers, Emollients"
glyceryl distearate,GOOD,"Thickeners/Emulsifiers, Emollients"
glyceryl ester,GOOD,"Thickeners/Emulsifiers, Emollients"
glyceryl isopalmitate,GOOD,"Thickeners/Emulsifiers, Emollients"
glyceryl isostearate,GOOD,"Thickeners/Emulsifiers, Emollients"
glyceryl myristate,GOOD,"Thickeners/Emulsifiers, Emollients"
glyceryl oleate,GOOD,"Thickeners/Emulsifiers, Emollients, Cleansing Agents"
glyceryl palmitate,GOOD,"Thickeners/Emulsifiers, Emollients"
glyceryl polymethacrylate,GOOD,"Thickeners/Emulsifiers, Film-Forming/Holding Agents, Texture Enhancer"
glyceryl rosinate,GOOD,"Emulsifiers, Emollients, Cleansing Agents"
glyceryl stearate,GOOD,"Thickeners/Emulsifiers, Cleansing Agents, Emollients"
glyceryl stearate SE,GOOD,"Thickeners/Emulsifiers, Emollients"
glycine,GOOD,Skin-Replenishing
Glycine soja oil,BEST,"Plant Extracts, Emollients, Antioxidants"
Glycine soja seed extract,BEST,"Plant Extracts, Emollients"
Glycine soja sterols,BEST,"Plant Extracts, Emollients"
glycogen,GOOD,"Skin-Replenishing, Hydration"
glycolic acid,BEST,Exfoliant
glycolipid,BEST,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing"
glycol stearate,GOOD,"Thickeners/Emulsifiers, Emollients"
glycoproteins,BEST,"Skin-Restoring, Hydration"
glycosaminoglycans,BEST,"Skin-Replenishing, Skin-Restoring"
glycosphingolipid,BEST,Skin-Replenishing
glycyrrhetic acid,BEST,"Skin-Soothing, Plant Extracts"
glycyrrhetinic acid,BEST,"Antioxidants, Skin-Soothing"
Glycyrrhiza glabra,BEST,"Skin-Soothing, Plant Extracts"
Glycyrrhiza uralensis root extract,BEST,"Skin-Soothing, Plant Extracts"
goji fruit extract,GOOD,"Antioxidants, Plant Extracts"
gold,POOR,"Sensitizing, Miscellaneous"
Gossypium herbacuem seed oil,GOOD,Plant Extracts
gotu kola,BEST,"Plant Extracts, Antioxidants"
grapefruit oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
grapefruit peel extract,POOR,"Sensitizing, Plant Extracts"
grapefruit seed extract,POOR,Uncategorized
grape seed extract,BEST,"Antioxidants, Plant Extracts"
grape seed oil,BEST,"Antioxidants, Plant Extracts, Emollients"
green tea,BEST,"Skin-Soothing, Antioxidants, Plant Extracts"
gromwell,BEST,"Skin-Soothing, Plant Extracts, Antioxidants"
guarana,POOR,"Plant Extracts, Sensitizing"
guar gum,GOOD,"Plant Extracts, Thickeners/Emulsifiers"
guar hydroxypropyltrimonium chloride,GOOD,"Thickeners/Emulsifiers, Texture Enhancer, Miscellaneous"
guava,BEST,"Antioxidants, Plant Extracts"
gums,GOOD,"Plant Extracts, Film-Forming/Holding Agents, Texture Enhancer"
Haematococcus pluvialis extract,BEST,"Antioxidants, Plant Extracts"
Hamamelis virginiana,POOR,"Antioxidants, Sensitizing, Plant Extracts"
hamamelitannin,POOR,"Antioxidants, Sensitizing"
Haslea ostrearia extract,GOOD,"Antioxidants, Emollients, Texture Enhancer, Thickeners/Emulsifiers, Plant Extracts"
hayflower extract,POOR,"Plant Extracts, Sensitizing"
hazelnut oil,GOOD,Emollients
hectorite,GOOD,Texture Enhancer
Hedera helix,POOR,"Plant Extracts, Sensitizing"
hedione,POOR,"Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
Helianthus annuus seed oil,BEST,"Plant Extracts, Emollients"
Helianthus oil,BEST,"Plant Extracts, Emollients"
hemp seed oil,GOOD,"Plant Extracts, Emollients"
hesperidin,BEST,"Antioxidants, Plant Extracts"
hesperidin methyl chalcone,GOOD,"Antioxidants, Plant Extracts"
hexanoyl dipeptide-3 norleucine acetate,BEST,Skin-Restoring
hexyl cinnamal,POOR,"Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
hexyldecanol,GOOD,"Emollients, Skin-Softening"
hexylene glycol,GOOD,Slip Agents
hexyl laurate,GOOD,"Emollients, Skin-Softening"
hexylresorcinol,AVERAGE,Antioxidants
hibiscus,GOOD,"Antioxidants, Skin-Restoring, Plant Extracts"
Himanthalia elongate extract,GOOD,"Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients"
Hippophae rhamnoides,GOOD,"Antioxidants, Plant Extracts"
histidine,GOOD,Antioxidants
hoelen,BEST,"Plant Extracts, Preservatives"
homosalate,BEST,Sunscreen Actives
honey,BEST,"Skin-Soothing, Vitamins, Antioxidants"
honey extract,BEST,"Skin-Soothing, Antioxidants, Vitamins"
honeysuckle flower extract,BEST,"Skin-Soothing, Plant Extracts"
hops,AVERAGE,"Antioxidants, Plant Extracts"
Hordeum vulgare extract,AVERAGE,"Antioxidants, Plant Extracts"
horse chestnut extract,GOOD,"Skin-Soothing, Plant Extracts"
horse elder,POOR,"Plant Extracts, Sensitizing"
horseradish,POOR,"Plant Extracts, Sensitizing"
horsetail extract,AVERAGE,"Antioxidants, Plant Extracts"
Hortonia floribunda leaf extract,AVERAGE,Plant Extracts
Huang qi,GOOD,"Antioxidants, Plant Extracts"
Humulus lupulus extract,AVERAGE,"Plant Extracts, Antioxidants"
hyaluronic acid,BEST,"Antioxidants, Skin-Replenishing, Skin-Restoring"
Hydnocarpus anthelmintica,POOR,"Plant Extracts, Sensitizing"
Hydrastis canadenis,POOR,"Plant Extracts, Sensitizing"
hydrocotyl extract,BEST,Plant Extracts
hydrogenated coco-glyceride,GOOD,"Thickeners/Emulsifiers, Texture Enhancer, Emollients"
hydrogenated didecene,GOOD,"Thickeners/Emulsifiers, Texture Enhancer"
hydrogenated lecithin,BEST,"Skin-Restoring, Emollients"
hydrogenated olive oil,BEST,"Antioxidants, Plant Extracts, Emollients"
hydrogenated palm glycerides,GOOD,"Antioxidants, Skin-Replenishing, Emollients"
hydrogenated polydecene,GOOD,Emollients
hydrogenated polyisobutene,GOOD,"Emollients, Skin-Softening"
hydrogenated soybean oil,BEST,"Antioxidants, Emollients"
hydrogenated starch hydrolysate,GOOD,"Film-Forming/Holding Agents, Hydration"
hydrogenated vegetable glycerides citrate,GOOD,"Emollients, Emulsifiers, Texture Enhancer"
hydrogen peroxide,POOR,Sensitizing
hydrolyzed acacia macrostachya seed extract,GOOD,"Antioxidants, Plant Extracts"
hydrolyzed corn starch,GOOD,Absorbent
hydrolyzed glycosaminoglycans,BEST,"Skin-Replenishing, Skin-Softening"
hydrolyzed jojoba esters,BEST,"Plant Extracts, Emollients, Skin-Softening"
hydrolyzed jojoba protein,GOOD,"Plant Extracts, Emollients"
hydrolyzed silk,GOOD,"Antioxidants, Slip Agents"
hydrolyzed soy protein,BEST,"Skin-Soothing, Antioxidants, Plant Extracts"
hydrolyzed vegetable protein,GOOD,"Miscellaneous, Hydration"
hydrolyzed wheat protein,GOOD,"Plant Extracts, Film-Forming/Holding Agents, Texture Enhancer"
hydroquinone,BEST,"Skin-Restoring, Antioxidants"
hydroxyethyl acrylate/sodium acryloyl dimethyl taurate copolymer,GOOD,"Thickeners/Emulsifiers, Texture Enhancer"
hydroxyethylcellulose,GOOD,"Plant Extracts, Film-Forming/Holding Agents, Texture Enhancer, Thickeners/Emulsifiers"
hydroxyethylpiperazine ethane sulfonic acid,POOR,Miscellaneous
hydroxyethyl urea,GOOD,"Hydration, Skin-Replenishing"
hydroxylated lecithin,BEST,Emollients
hydroxypropyl cyclodextrin,GOOD,Miscellaneous
hydroxypropyl guar,GOOD,"Plant Extracts, Thickeners/Emulsifiers"
hydroxypropyl starch phosphate,GOOD,Thickeners/Emulsifiers
Hypericum extract,GOOD,"Antioxidants, Sensitizing, Plant Extracts"
hyssop,AVERAGE,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
idebenone,BEST,Antioxidants
Ilex paraguariensis,BEST,"Skin-Soothing, Antioxidants"
Illicium vernum,POOR,"Antioxidants, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
imidazolidinyl urea,AVERAGE,Preservatives
inactive ingredient,GOOD,Miscellaneous
inositol,BEST,Skin-Replenishing
Inula helenium,POOR,"Plant Extracts, Sensitizing"
iodopropynyl butylcarbamate,GOOD,Preservatives
Iris florentina extract,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
Irish moss extract,GOOD,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts, Emollients, Texture Enhancer"
iron oxides,GOOD,Coloring Agents/Pigments
iron powder,AVERAGE,Absorbent
isoamyl laurate,GOOD,"Emulsifiers, Skin-Softening"
isobutyl acetate,GOOD,Miscellaneous
isobutylparaben,GOOD,Preservatives
isocetyl salicylate,AVERAGE,Miscellaneous
isododecane,GOOD,"Miscellaneous, Texture Enhancer"
isoflavone,BEST,"Antioxidants, Plant Extracts"
isohexadecane,GOOD,"Thickeners/Emulsifiers, Cleansing Agents, Texture Enhancer"
isoleucine,GOOD,"Antioxidants, Skin-Replenishing"
isononyl isononanoate,GOOD,Emollients
isoparaffin,GOOD,"Thickeners/Emulsifiers, Texture Enhancer"
isopropyl alcohol,POOR,Sensitizing
isopropyl isostearate,GOOD,Emollients
isopropyl lanolate,GOOD,"Thickeners/Emulsifiers, Texture Enhancer, Emollients"
isopropyl myristate,GOOD,"Texture Enhancer, Emollients"
isopropyl palmitate,GOOD,"Emollients, Texture Enhancer"
isopropyl titanium triisostearate,GOOD,"Emulsifiers, Texture Enhancer, Emollients"
isopropyl titanium triisostearte/triethoxycaprylylsilane crosspolymer,GOOD,"Thickeners/Emulsifiers, Silicones, Texture Enhancer"
isostearamide DEA,GOOD,"Thickeners/Emulsifiers, Texture Enhancer, Cleansing Agents"
isostearic acid,GOOD,"Thickeners/Emulsifiers, Texture Enhancer"
ivy extract,POOR,"Plant Extracts, Sensitizing"
Japan wax,GOOD,"Thickeners/Emulsifiers, Emollients, Texture Enhancer"
jasmine oil,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
Jasminium grandiflorum,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
jojoba butter,BEST,"Antioxidants, Emollients, Plant Extracts"
jojoba esters,BEST,"Plant Extracts, Emollients"
jojoba oil,BEST,"Skin-Restoring, Plant Extracts, Skin-Replenishing, Emollients"
jojoba wax,BEST,"Plant Extracts, Skin-Replenishing, Emollients"
jonquil extract,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
Ju hua,GOOD,"Skin-Soothing, Plant Extracts"
jujube fruit extract,GOOD,"Skin-Soothing, Plant Extracts, Antioxidants"
juniper berry,POOR,"Skin-Soothing, Plant Extracts, Sensitizing"
Juniperus communis,POOR,"Skin-Soothing, Sensitizing, Plant Extracts"
kaolin,GOOD,Absorbent
Kathon CG,POOR,"Preservatives, Sensitizing"
kava-kava extract,POOR,"Skin-Soothing, Plant Extracts, Sensitizing"
kawa extract,POOR,"Skin-Soothing, Plant Extracts, Sensitizing"
kelp extract,GOOD,"Antioxidants, Thickeners/Emulsifiers, Emollients, Plant Extracts"
Kigelia africana extract,AVERAGE,"Skin-Soothing, Antioxidants, Plant Extracts"
kiwi fruit extract,AVERAGE,"Antioxidants, Plant Extracts, Sensitizing"
kojic acid,GOOD,Antioxidants
kojic dipalmitate,GOOD,Antioxidants
kola nut,AVERAGE,"Plant Extracts, Sensitizing"
kudzu root,BEST,"Antioxidants, Plant Extracts"
kukui nut oil,BEST,"Plant Extracts, Emollients"
lactic acid,BEST,Exfoliant
lactobionate,GOOD,Skin-Replenishing
lactobionic acid,BEST,Exfoliant
lactoperoxidase,BEST,Miscellaneous
lady's mantle extract,POOR,"Plant Extracts, Miscellaneous"
lady's thistle (milk thistle) extract,BEST,"Antioxidants, Plant Extracts, Skin-Restoring"
Lagerstroemia indica extract,AVERAGE,Plant Extracts
Laminaria digitata,GOOD,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts, Texture Enhancer"
Laminaria longicruris,GOOD,"Antioxidants, Texture Enhancer, Plant Extracts, Thickeners/Emulsifiers, Emollients"
Laminaria ochroleuca extract,GOOD,"Skin-Soothing, Plant Extracts"
Laminaria sacharrina,GOOD,"Antioxidants, Emollients, Plant Extracts, Thickeners/Emulsifiers"
Lamium album flower extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts"
lanolin,GOOD,"Emollients, Skin-Replenishing"
lanolin alcohol,GOOD,"Emollients, Skin-Replenishing"
lappa extract,GOOD,"Skin-Soothing, Plant Extracts, Antioxidants"
Larrea divaricata extract,GOOD,"Antioxidants, Plant Extracts"
Larrea tridentata,GOOD,"Antioxidants, Plant Extracts"
L-ascorbic acid,BEST,"Skin-Soothing, Vitamins, Antioxidants"
lauramphocarboxyglycinate,GOOD,Cleansing Agents
laurdimonium hydroxypropyl hydrolyzed soy protein,GOOD,Miscellaneous
laurdimonium hydroxypropyl hydrolyzed wheat protein,GOOD,Miscellaneous
laureth-23,GOOD,"Thickeners/Emulsifiers, Cleansing Agents, Texture Enhancer"
laureth-4,GOOD,"Thickeners/Emulsifiers, Texture Enhancer, Cleansing Agents"
laureth-7,GOOD,"Thickeners/Emulsifiers, Cleansing Agents"
laureths,GOOD,Cleansing Agents
lauric acid,BEST,"Skin-Replenishing, Cleansing Agents"
lauroyl lysine,GOOD,Miscellaneous
Laurus nobilis,POOR,"Antioxidants, Fragrance: Synthetic and Fragrant Plant Extracts, Plant Extracts"
lauryl alcohol,GOOD,Cleansing Agents
lauryl glucoside,GOOD,Cleansing Agents
lauryl lactate,GOOD,"Fragrance: Synthetic and Fragrant Plant Extracts, Emollients"
lauryl laurate,BEST,"Emollients, Texture Enhancer"
lauryl PEG-9 polydimethylsiloxyethyl dimethicone,GOOD,"Emulsifiers, Miscellaneous, Texture Enhancer, Thickeners/Emulsifiers"
lavandin oil,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
Lavandula angustifolia,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
Lavandula officinalis,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
lavender extract and oil,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
L-cysteine,GOOD,Antioxidants
lecithin,BEST,"Emollients, Skin-Replenishing"
lemon,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
lemon balm,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
lemongrass extract,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
lemongrass oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
lemon juice,POOR,"Antioxidants, Sensitizing"
lemon oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
lentil fruit extract,GOOD,"Antioxidants, Plant Extracts, Skin-Softening"
Lentinus edodes extract,AVERAGE,"Plant Extracts, Sensitizing, Antioxidants"
Leontopodium alpinum extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts"
Leptospermum scoparium oil,GOOD,"Plant Extracts, Antioxidants"
leucine,GOOD,Skin-Replenishing
Levisticum officinale root extract,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
licorice extract,BEST,"Skin-Soothing, Plant Extracts, Antioxidants"
licorice root,BEST,"Skin-Soothing, Plant Extracts"
Lilium candidum bulb extract,AVERAGE,Plant Extracts
lime oil and extract,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
Limnanthes alba,GOOD,"Plant Extracts, Skin-Softening"
Limnanthes alba seed oil,GOOD,Plant Extracts
limonene,POOR,"Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
